trip_id,start_time,end_time,headway_secs,exact_times
44518323-f894-45cf-bbf8-c1adb6c1a2da,04:55:00,06:15:00,4800,0
f343f631-7b20-4494-a3e5-be87540c0aaf,06:15:00,08:21:00,840,0
7ef0913c-ebad-43bf-9e6c-ee95b80c18da,13:45:00,14:25:00,1200,0
9cc4b370-0c2f-4160-9204-ae374ef04351,18:22:00,19:34:00,1080,0
bf15355e-5adb-481b-8ada-cb3ae970faeb,22:02:00,25:42:00,1320,0
2954a9df-4d67-408d-8bb4-ba1df79e4307,10:49:00,12:09:00,1200,0
a0bb89a6-d7ba-42da-8630-861d8cd3e03d,12:43:45,13:02:45,285,0
0d00bc50-e2c1-457d-b494-59e501661f51,13:43:00,15:09:00,2580,0
e6d5bb46-2fe5-4ae4-bd04-ca68b8e6385e,09:05:30,09:43:00,450,0
ef00e2d5-9c28-4530-a264-a32955d715df,20:01:15,20:20:45,585,0
3bddda30-4822-43dd-a282-829e2583ce55,04:00:00,04:45:00,2700,0
699b2882-bb78-4faf-a45a-fc11047f555b,08:47:00,10:46:00,1020,0
f8638dd1-2a8c-4d2a-98d9-7e1518c08abf,11:50:00,13:32:00,1020,0
5b848aa2-6204-46c2-9474-8541a163ec94,04:45:00,05:30:00,2700,0
7a969163-54c9-49fc-b811-d5cddd6edddd,14:52:00,15:40:00,720,0
a5e0766c-ae3f-4336-96b2-f69509583ac6,19:01:15,19:45:15,330,0
9cfaf49b-684e-4945-8af8-ab9ae0f2591f,05:00:00,05:27:00,1620,0
daa10b60-4dc4-4917-88d3-ab2c10526235,05:00:00,05:39:00,2340,0
4a410763-5865-448d-9fad-972184e62c8e,18:16:00,18:43:00,405,0
28688012-6e2d-4f5f-92b5-041f0bcdb2cd,23:00:00,28:00:00,3600,0
21945e66-039c-4e3d-94ee-66435474e69a,23:00:00,28:00:00,3600,0
65d13cae-1a41-4ad7-b5ae-f29d5bbed764,24:22:00,29:22:00,3600,0
dd28ef45-c0fc-4a7c-8e59-42f7b299a24b,24:22:00,29:22:00,3600,0
5972db1a-6b31-4895-a2a1-1527f6f5ad45,20:38:30,21:26:30,480,0
37d7f43b-6651-469a-b06b-c0335e67d56b,06:10:00,09:10:00,900,0
a25593dd-776c-421e-a7fe-83034549e052,07:09:00,07:45:00,1080,0
3e14e298-dd50-4412-a1e5-aa581d9713e2,04:30:00,05:00:00,1800,0
dfb0f6a8-a021-4def-8fd0-777799fb5081,22:22:00,24:04:00,2040,0
338bec33-5a52-41af-888c-69e17641c5a2,07:10:00,08:35:00,1020,0
764a6a1d-fb79-469e-a7a2-02c7d0246234,08:02:00,08:41:00,780,0
