stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
3065O00018C9,"",Rua Capitão Rezende próximo ao 35,"",-22.89884,-43.27043,"","",0,"","",,""
3065O00019C9,"",Rua Capitão Rezende próximo ao 202-246,"",-22.8977,-43.27136,"","",0,"","",,""
3065O00020C9,"",Rua Capitão Rezende próximo ao 620,"",-22.8952,-43.27413,"","",0,"","",,""
3065O00025C0,"",Rua Chaves Pinheiro próximo ao 67,"",-22.88674,-43.2779,"","",0,"","",,""
3065O00026C0,"","Rua Coração de Maria, 421","",-22.891631,-43.274574,"","",0,"","",,""
3065O00027C0,"","Rua Coração de Maria, 331","",-22.8931,-43.27577,"","",0,"","",,""
3065O00028C0,"","Rua Miguel Ângelo , 479","",-22.88791,-43.26594,"","",0,"","",,""
3065O00029C0,"","Rua Miguel Ângelo , 725","",-22.89285,-43.26917,"","",0,"","",,""
3065O00030C0,"","Rua Miguel Ângelo , 645","",-22.890826,-43.267841,"","",0,"","",,""
3065O00031C0,"",Rua Ferreira de Andrade  114,"",-22.89519,-43.2729,"","",0,"","",,""
3065O00032C0,"",Rua Ferreira de Andrade 344,"",-22.89324,-43.27201,"","",0,"","",,""
3065O00033C0,"",Rua Honório próximo ao 1258,"",-22.88821,-43.27681,"","",0,"","",,""
3065O00034C0,"",Rua Capitão Jesus próximo ao 60,"",-22.89435,-43.2756,"","",0,"","",,""
3065O00035C0,"",Rua Capitão Jesus próximo a praça Avaí e Escola Municipal Pastor Miranda Pinto,"",-22.89279,-43.27658,"","",0,"","",,""
3065O00036C0,"","R. Aristides Caire, 323","",-22.895086,-43.273695,"","",0,"","",,""
3065O00038C2,"","R. Cachambi, 104","",-22.893425,-43.273886,"","",0,"","",,""
3065O00039C2,"",Rua Cachambi próximo ao 184,"",-22.89202,-43.2738,"","",0,"","",,""
3065O00040C2,"",Rua Cachambi próximo ao 344,"",-22.88867,-43.27465,"","",0,"","",,""
3065O00041C2,"",Rua Cachambi próximo ao 442,"",-22.88719,-43.2763,"","",0,"","",,""
3065O00046C1,"",Norte Shopping,"",-22.887444,-43.28419,"","",0,"","",,""
3065O00047C0,"","R. Miguel Fernandes, 468","",-22.897863,-43.269422,"","",0,"","",,""
3065O00048C0,"","R. Miguel Fernandes, 880","",-22.89676,-43.267862,"","",0,"","",,""
3065O00050C0,"","R. Álvares Cabral, 393","",-22.893114,-43.269945,"","",0,"","",,""
3065O00051C0,"","R. Álvares Cabral, 128","",-22.894641,-43.268181,"","",0,"","",,""
3065O00052C0,"",Rua Miguel Ângelo próximo ao 580-598 - Cachambi,"",-22.889814,-43.267238,"","",0,"","",,""
3065O00053C0,"",Dom Helder Câmara,"",-22.885519,-43.277384,"","",0,"","",,""
3065O00054C0,"",Rua Cachambi próximo ao 325,"",-22.888891,-43.274554,"","",0,"","",,""
3065O00056C0,"",Chinezinho,"",-22.889237,-43.26632,"","",0,"","",,""
3065OY0011C9,"",Rua Vasco da Gama próximo ao 50,"",-22.89053,-43.28161,"","",0,"","",,""
3066O00002C9,"",Rua Goiás oposto ao 38,"",-22.89542,-43.29709,"","",0,"","",,""
3066O00004C0,"","Rua Dias da Cruz, 676","",-22.90479,-43.29386,"","",0,"","",,""
3066O00005C0,"","Rua Dias da Cruz, 768","",-22.903974,-43.295699,"","",0,"","",,""
3066O00007C9,"",Ramiro Magalhães,"",-22.90265,-43.29674,"","",0,"","",,""
3066O00008C9,"",Ana Leonídia,"",-22.90125,-43.2963,"","",0,"","",,""
3066O00010C9,"",Rua Adolfo Bergamini próximo ao 140,"",-22.89869,-43.29551,"","",0,"","",,""
3066O00011C9,"",Amaro Cavalcanti,"",-22.89612,-43.29474,"","",0,"","",,""
3066O00012C0,"","Avenida Amaro Cavalcanti,L/O 2339","",-22.89579,-43.298812,"","",0,"","",,""
3066O00013C0,"","Rua Dias da Cruz, 872","",-22.90317,-43.29788,"","",0,"","",,""
3066O00014C0,"","Rua Dias da Cruz, 944","",-22.90277,-43.29933,"","",0,"","",,""
3066O00015C0,"",Bernardo,"",-22.90347,-43.30016,"","",0,"","",,""
3066O00016C0,"",Rua das Oficinas próximo ao 54,"",-22.891892,-43.290069,"","",0,"","",,""
3066O00017C0,"",Rua Bento Gonçalves próximo ao 76,"",-22.89384,-43.29613,"","",0,"","",,""
3066O00018C0,"",Rua Bento Gonçalves próximo ao 426,"",-22.893892,-43.29941,"","",0,"","",,""
3066O00022C0,"",Rua Daniel Carneiro próximo ao 170,"",-22.897116,-43.300188,"","",0,"","",,""
3066O00023C0,"",Rua Daniel Carneiro próximo ao 98,"",-22.89782,-43.29761,"","",0,"","",,""
3066O00024C0,"",Rua Daniel Carneiro próximo ao 36,"",-22.89859,-43.29481,"","",0,"","",,""
3066O00025C0,"",Rua Monsenhor Jerônimo próximo ao 84,"",-22.89624,-43.29248,"","",0,"","",,""
3066O00026C0,"",Rua Borja Réis próximo ao 600-650,"",-22.9047,-43.302136,"","",0,"","",,""
3066O00027C0,"",Rua Borja Réis próximo ao 442,"",-22.90457,-43.30007,"","",0,"","",,""
3066O00028C0,"",Rua Borja Réis próximo ao 230,"",-22.90446,-43.29805,"","",0,"","",,""
3066O00029C0,"",Rua Borja Réis próximo ao 76,"",-22.90436,-43.29643,"","",0,"","",,""
3066O00031C2,"",Rua Dias da Cruz próximo ao 685,"",-22.90501,-43.29376,"","",0,"","",,""
3066O00032C0,"",Ponto Final: Norte Shopping :: Linha 456,"",-22.886572,-43.285418,"","",0,"","",,""
3066O00034C9,"",Pernambuco,"",-22.89973,-43.29748,"","",0,"","",,""
3066O00035C9,"",Dias da Cruz,"",-22.90283,-43.29845,"","",0,"","",,""
3066O00036C9,"",Rua Doutor Bulhões próximo ao 890-912,"",-22.90381,-43.29877,"","",0,"","",,""
3066O00037C0,"",Avenida Amaro Cavalcanti próximo ao 1319,"",-22.89615,-43.28998,"","",0,"","",,""
3066O00038C0,"",Estação Engenho de Dentro,"",-22.895733,-43.29366,"","",0,"","",,""
3066O00039C0,"","Rua Maranhão, 66","",-22.906002,-43.293253,"","",0,"","",,""
3066O00040C9,"",Rua Venâncio Ribeiro próximo ao 131,"",-22.90567,-43.29927,"","",0,"","",,""
3066O00041C9,"",Rua Maria Paula próximo ao 46,"",-22.90702,-43.2975,"","",0,"","",,""
3066O00042C0,"",Rua Curupaiti próximo ao 66,"",-22.89706,-43.28983,"","",0,"","",,""
3066O00047C0,"",RUA CAMARISTA MEIER 703,"",-22.90996,-43.29674,"","",0,"","",,""
3066O00049C0,"",RUA CAMARISTA MEIER 419,"",-22.90755,-43.29644,"","",0,"","",,""
3066O00050C0,"",Avenida Amaro Cavalcanti próximo ao 1319-1373 - Engenho de Dentro,"",-22.896314,-43.290043,"","",0,"","",,""
3066O00051C0,"","Avenida Amaro Cavalcanti ,2090","",-22.895769,-43.296477,"","",0,"","",,""
3066O00052C0,"",Ponto Final: Engenho de Dentro :: Linha 606,"",-22.895729,-43.294213,"","",0,"","",,""
3066O00053C0,"","Rua Maranhão, 206","",-22.907196,-43.293138,"","",0,"","",,""
3066O00003C2,"",Henrique de Holanda Amado,"",-22.88583,-43.28976,"","",0,"","",,""
3066O00033C0,"",Dom Helder Câmara,"",-22.88629,-43.28781,"","",0,"","",,""
3065O00044C1,"",Norte Shopping,"",-22.88727,-43.28219,"","",0,"","",,""
3065O00045C1,"",Pedras Altas,"",-22.886308,-43.279923,"","",0,"","",,""
3066O00055C0,"",R. Arquias Cordeiro e/f a estação de trem de Engenho de Dentro,"",-22.895219,-43.29438,"","",0,"","",,""
3066O00056C0,"","Rua Arquias Cordeiro, 900","",-22.89609,-43.289486,"","",0,"","",,""
3066O00057C0,"",Ponto Final: Camarista Méier :: Linha 247,"",-22.914455,-43.298269,"","",0,"","",,""
3066O00058C0,"",Rua Henrique Scheid,"",-22.887518,-43.288343,"","",0,"","",,""
3066O00059C0,"",Rua Henrique Scheid próximo ao 165-173 - Engenho de Dentro,"",-22.88991,-43.290338,"","",0,"","",,""
3066O00060C0,"",R. das Oficinas,"",-22.89093,-43.293169,"","",0,"","",,""
3066O00061C0,"","R. José dos Reis, 395","",-22.895439,-43.300883,"","",0,"","",,""
3066O00062C0,"",R. Dr. Padilha,"",-22.892071,-43.288382,"","",0,"","",,""
3066O00063C9,"",R. Bernardo,"",-22.903741,-43.300861,"","",0,"","",,""
3066O00064C0,"",Gustavo Riedel,"",-22.900958,-43.30123,"","",0,"","",,""
3067O00001C0,"","Rua Monteiro da Luz , 360","",-22.90551,-43.30825,"","",0,"","",,""
3067O00003C0,"","Rua Violeta , próximo a rua Paraná","",-22.90563,-43.3107,"","",0,"","",,""
3067O00004C0,"",Rua da Pátria 545,"",-22.90597,-43.314,"","",0,"","",,""
3067O00005C0,"",Rua da Pátria 409,"",-22.9064,-43.31263,"","",0,"","",,""
3067O00006C0,"",Rua Paraná entre a rua da Pátria e a rua Fontoura Chaves,"",-22.90582,-43.31102,"","",0,"","",,""
3067O00007C0,"","Rua Monteiro da Luz , 441","",-22.90591,-43.30901,"","",0,"","",,""
